Commit,HIGH Severity,MEDIUM Severity,LOW Severity,HIGH Confidence,MEDIUM Confidence,LOW Confidence,Unique CWEs
99d2da66dc8196c60a85786c5d0f965b4f0a4c45,36,76,4871,4936,35,12,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-78, CWE-89, CWE-502, CWE-259, CWE-20, CWE-327, CWE-22"
d298738612323341e2462801b6d67acd28f02de3,36,76,4871,4936,35,12,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-78, CWE-89, CWE-502, CWE-259, CWE-20, CWE-327, CWE-22"
86e1bd47a48d6159c1e661bc4eeac4aeeee0ff21,37,77,4871,4937,35,13,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-295, CWE-78, CWE-89, CWE-502, CWE-259, CWE-400, CWE-20, CWE-327, CWE-22"
6e6a0ad9a9da379732b192f93f4fc2aec4437ec5,37,77,4871,4937,35,13,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-295, CWE-78, CWE-89, CWE-502, CWE-259, CWE-400, CWE-20, CWE-327, CWE-22"
7893766e4cc02fe5965cfacb07f44400ec9c478b,36,75,4879,4943,35,12,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-78, CWE-89, CWE-502, CWE-259, CWE-20, CWE-327, CWE-22"
34b90217727b2170a78655ac74c9cd96977410fa,37,77,4871,4937,35,13,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-295, CWE-78, CWE-89, CWE-502, CWE-259, CWE-400, CWE-20, CWE-327, CWE-22"
2708be257d2397988505930a99acae06c63e8e66,37,77,4871,4937,35,13,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-295, CWE-78, CWE-89, CWE-502, CWE-259, CWE-400, CWE-20, CWE-327, CWE-22"
c9187b40bda3ebdd2244b05a92466094166b3c8e,37,77,4871,4937,35,13,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-295, CWE-78, CWE-89, CWE-502, CWE-259, CWE-400, CWE-20, CWE-327, CWE-22"
5d9d8840ae4aa28584566b75dc83ae4536e90975,37,77,4871,4937,35,13,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-295, CWE-78, CWE-89, CWE-502, CWE-259, CWE-400, CWE-20, CWE-327, CWE-22"
10c0aa3f6ab442bf8144bec2dec85ca908617749,36,76,4876,4941,35,12,"CWE-838, CWE-330, CWE-732, CWE-377, CWE-703, CWE-78, CWE-89, CWE-502, CWE-259, CWE-20, CWE-327, CWE-22"
