Commit,HIGH Severity,MEDIUM Severity,LOW Severity,HIGH Confidence,MEDIUM Confidence,LOW Confidence,Unique CWEs
200c114c581fb16c423bbda544cf6ad43b3f1373,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
9dcfa73798b6280763f7b9e0964df2463ba8d0d0,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
5bf0d75e5bc5a5c3b112eb159dc107843bb17560,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
79f43cb2d1fc002d5199da22018ff1337de5647b,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
2cd64356113aba501adc241efbcabfb127f6c4ce,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
6b61d4e1ad8badcc94e9bd572a31cdcc4fc9c21e,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
5b83e45a8a38e8f66c1f5e22232f95adc2409bd3,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
251a08d8c183c3286fac6710fe2bbaf439e41a70,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
8a77f2e68d49c897529b2fc00d139b31fa5eaa3d,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
5e4b9359148d24fb3ea7be0f07eea7905de6bb51,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
17ecd4f40baf1dc42abe1b7cc15041a81bc506c3,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
d10575f7b202318b59a26c774a2e8f7689619c4b,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
cd164f0052e5667c702300b23b690aa387360049,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
031d4d74507f292acfd0fd44b619bb9fc8b24f78,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
4f601d72f4a8cd0cb688ad5074c05ba7f698099a,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
0b0d6516b1265e8da42b9c93ef656fd3b9957534,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
014ed70e1e66dea0e059494888cb8a69d75f8f9a,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
d833e27d8cfd1427a6b1faa859ddf4695f3436df,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
16cc8afc8d9c7e7d84dc4a23638f06ffae28cf46,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
8111bdc4cb3b227d35b925c2574a247d3d637914,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
40ecb55c4135618ceea21872b5bbfd68ec7a06a1,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
34d1ef4a39c1820fa0db314adb350e4d6be28f07,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
74f1922eb2fcdd9b3277350af18152dedae4e23f,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
4ac782e0ec756163c15b960dfb26b6d430a23544,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
ddd45d7cf4a9f3f014cb4f7f1a4d0baae042469b,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
e2acaa099eab82f8d513434405099140ecae2c41,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
b411b2cb61a5c1b0dd96b6b5cffea4e8ced07fe4,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
f1a9025fed34fe819c6e2c2cc5ca438dac15ffed,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
f97ccaed1a4d8ac20a1be9f6c50ebd16050b3a84,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
e9d8b52e9e186d2e36b8ebc279742c42d31bc6c0,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
faa7ec3839780692913395f3497680690ec100b3,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
4ba51c98b17a529ed091b1d1afd59171dc103532,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
cc1c653ad4b9b7d5c43272e338ada9d53acd1365,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
e6d4755920510a17906100052430f322f4834d3e,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
55c0309ed839e1085005743ec9bff5006878cb2d,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
7f2cfd2e371dd598d438fe9eade516e16749bf1b,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
d7b0ead6b7e4aeedf92838d10ad6349f3f6fc345,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
1158fd10a3f468373a3c12adea240af508c8fdfa,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
2949243ad4ce589c88aab7e970b051c0dce188cb,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
da9f7fbe118309f36bed04e168ebab0756fd0311,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
985c49d7baaa49a8b52438c290ec2f9fb4f40630,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
46df4d000ffacc787138d25c06a9bb53334a8b39,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
62277a37ba0b4e5580c44c6c1f0e60e494966890,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
788dce87520a703bc13d7d231e3875363c15650e,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
e4c770386e65486a7a127445689b118e238c4104,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
25ca73c8ef085eb861acd6e0a2be48ca983ce6dd,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
8795163e16f6c4e6db047e0c0f766c9f85b0958d,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
db6930f6649b966bd372bad23228138043351232,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
4e069d46c8c107f4f888302e95f215bf878a7c58,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
8b127e372b5de775ce1590fe1859e746c2954287,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
b700485de3a3e3e2e9087c94eb1c006250d4e977,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
34a2afe6203d8f5d6ae024fc068174f048097819,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
2c7b2bb249ceb79ff05e1d4ecc67b4ccf72d53cf,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
d20ebcad1ca4185727d68a8f471aeab4ca83bb47,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
3151435b3053dc3fe8420201a225b2bb4f7f0729,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
c1be679364f128d21df8038eae7aa72ad2369bec,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
8c6d11f012098a8b223990f5dc7eff609c84a547,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
b82f2f9990ee10823efc379116a9b6b6e2412085,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
7550063c1789112b88347d038143f239bd441373,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
fcc0a47fb8eadf4c5a9c0969aafecdcb2b389529,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
e2fbbf2160d836a367e398052178e557ddcc206e,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
565b34d9dea18cfdfd9915867f879d9f9509639c,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
7475c4f6e7b571ed2ee56994a16b81ac4141f5a7,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
3a3210685ef16a4167e91709fda962dab0bb5afd,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
e25c26931255b1f655194895305697ed842ef2e5,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
edfdf5fa7497a4eb5ff030ed9200a565e0b81492,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
b78e95e54b49674f557d3fbeea6438c8905a2bc4,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
88135de5bfce0cc4451203f76d731f2c6c1f834a,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
4cf270724e2f40cbd97ca9fd83d6b3da23bc57df,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
02392a690b1fdf679af868aba99fe03478273476,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
5b2c453c6f645c6628c1fb128a8c2f9e33d3d0dc,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
319c1e5d1d4bd34f8c1d81fdaed98a611bd35dd9,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
434d6f68b334ebd03466ffb307ef99882d017e30,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
9332bca31fac01f1fe089aa361d163423fc9d20b,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
d4162486a4338776e0d426378041ca63f9d5684f,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
dd3bef6c40f2c23d216fc05e48e93b90a7588e38,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
39b3577c138ebe3e7eff27bcb3db8db9b736021a,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
30eb2983e22ea4199d17015117907bdcaa78e959,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
9888575314d415ce29f6a5bac3a91ef24bd56608,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
a0d73defd594478c72535f271d04634f436019f7,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
ade8764bfe41d3444bf9568d20402930fb775da6,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
4a16d1f307108b9c50f59b57124434c43150728a,37,144,5358,5442,84,13,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
647d7eb11534a12f32336bebdf767d37f5933f56,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
c18012d50af59ff42c3391ff4f3022784e052136,37,143,5359,5443,84,12,"CWE-326, CWE-732, CWE-502, CWE-312, CWE-327, CWE-200, CWE-321, CWE-78, CWE-338, CWE-829, CWE-798, CWE-89, CWE-269"
