Module Dependencies (Fan-In and Fan-Out):
PIL: Fan-In = 4, Fan-Out = 1
PIL.Image: Fan-In = 2, Fan-Out = 2
PIL.PngImagePlugin: Fan-In = 2, Fan-Out = 2
__main__: Fan-In = 0, Fan-Out = 32
beets: Fan-In = 21, Fan-Out = 0
beets.__main__: Fan-In = 1, Fan-Out = 1
beets.art: Fan-In = 1, Fan-Out = 3
beets.autotag: Fan-In = 9, Fan-Out = 6
beets.autotag.hooks: Fan-In = 7, Fan-Out = 7
beets.autotag.match: Fan-In = 2, Fan-Out = 8
beets.autotag.mb: Fan-In = 3, Fan-Out = 7
beets.dbcore: Fan-In = 7, Fan-Out = 4
beets.dbcore.db: Fan-In = 4, Fan-Out = 6
beets.dbcore.query: Fan-In = 7, Fan-Out = 4
beets.dbcore.queryparse: Fan-In = 2, Fan-Out = 4
beets.dbcore.types: Fan-In = 4, Fan-Out = 3
beets.importer: Fan-In = 4, Fan-Out = 8
beets.library: Fan-In = 11, Fan-Out = 8
beets.logging: Fan-In = 13, Fan-Out = 0
beets.mediafile: Fan-In = 1, Fan-Out = 0
beets.plugins: Fan-In = 9, Fan-Out = 6
beets.random: Fan-In = 1, Fan-Out = 0
beets.test: Fan-In = 2, Fan-Out = 0
beets.test._common: Fan-In = 2, Fan-Out = 7
beets.test.helper: Fan-In = 1, Fan-Out = 12
beets.ui: Fan-In = 6, Fan-Out = 13
beets.ui.commands: Fan-In = 4, Fan-Out = 10
beets.util: Fan-In = 20, Fan-Out = 4
beets.util.artresizer: Fan-In = 2, Fan-Out = 6
beets.util.bluelet: Fan-In = 1, Fan-Out = 0
beets.util.functemplate: Fan-In = 5, Fan-Out = 0
beets.util.hidden: Fan-In = 2, Fan-Out = 0
beets.util.id_extractors: Fan-In = 2, Fan-Out = 0
beets.util.m3u: Fan-In = 1, Fan-Out = 2
beets.util.pipeline: Fan-In = 2, Fan-Out = 1
beets.vfs: Fan-In = 1, Fan-Out = 2
numpy: Fan-In = 2, Fan-Out = 1
typing_extensions: Fan-In = 2, Fan-Out = 0
